id,title,url,priority,category,purpose,prompt,media,poster_family,poster_role,status,type
101,Главная — hero,/,P0,homepage,первый экран и адаптивный архитектурный visual,беклог-промтов/101-home-hero-posters.md,беклог-промтов/assets/home-hero-desktop-v2.webp; беклог-промтов/assets/home-hero-mobile-v2.webp,home-hero-v2,главный архитектурный hero desktop/mobile,prepared,homepage
102,Главная — блок владельцев,/,P1,homepage,"оценка, подготовка и продажа",беклог-промтов/102-home-sellers-poster.md,беклог-промтов/assets/home-sellers-poster-v1.webp,,,prepared,homepage
103,Главная — блок покупателей,/,P1,homepage,"подбор, проверка и сопровождение покупки",беклог-промтов/103-home-buyers-poster.md,беклог-промтов/assets/home-buyers-poster-v1.webp,,,prepared,homepage
104,Главная — процесс,/,P1,homepage,как проходит работа,беклог-промтов/104-home-process-poster.md,беклог-промтов/assets/home-process-poster-v1.webp,,,prepared,homepage
105,Главная — консультация,/,P1,homepage,финальный CTA консультации,беклог-промтов/105-home-consultation-poster.md,беклог-промтов/assets/home-consultation-poster-v1.webp,,,prepared,homepage
106,Главная — материалы владельцам,/,P2,homepage,обложка материалов для владельцев,беклог-промтов/106-home-materials-sellers.md,беклог-промтов/assets/home-materials-sellers-v1.webp,,,prepared,homepage
107,Главная — материалы покупателям,/,P2,homepage,обложка материалов для покупателей,беклог-промтов/107-home-materials-buyers.md,беклог-промтов/assets/home-materials-buyers-v1.webp,,,prepared,homepage
108,Главная — материалы о документах,/,P2,homepage,обложка материалов о документах и рисках,беклог-промтов/108-home-materials-documents.md,беклог-промтов/assets/home-materials-documents-v1.webp,,,prepared,homepage
109,Владельцам,/sell/,P1,seller,"маршрут владельца: оценка, диагностика, подготовка и сопровождение продажи",беклог-промтов/109-sell.md,беклог-промтов/assets/site-pages/poster-sell-hub-v1.webp,poster-sell-hub-v1.webp,"маршрут владельца, продажа, подготовка, стратегия",prepared,remaining
110,Оценка недвижимости,/sell/estimate/,P1,seller,предварительный диапазон стоимости и объяснение факторов цены,беклог-промтов/110-sell-estimate.md,беклог-промтов/assets/site-pages/poster-mortgage-finance-v1.webp,poster-mortgage-finance-v1.webp,"ипотека, оценка, налоги, расчёты, платежи",prepared,remaining
111,Диагностика продажи,/sell/diagnostic/,P1,seller,"оценка готовности объекта и стратегии продажи, включая фото-анализ как встроенный шаг",беклог-промтов/111-sell-diagnostic.md,беклог-промтов/assets/site-pages/poster-risk-check-v1.webp,poster-risk-check-v1.webp,"проверка объекта, диагностика, документы и risk-check",prepared,remaining
112,Подготовка к продаже,/sell/prepare/,P2,seller,понятный план подготовки объекта без ненужных затрат,беклог-промтов/112-sell-prepare.md,беклог-промтов/assets/site-pages/poster-sell-hub-v1.webp,poster-sell-hub-v1.webp,"маршрут владельца, продажа, подготовка, стратегия",prepared,remaining
113,Документы продавца,/sell/documents/,P2,seller,структурировать документы и риски до выхода на сделку,беклог-промтов/113-sell-documents.md,беклог-промтов/assets/site-pages/poster-meeting-documents-v1.webp,poster-meeting-documents-v1.webp,"переговоры, документы, сопровождение сделки и цепочки",prepared,remaining
114,Показы недвижимости,/sell/showings/,P2,seller,"организация показов, обратной связи и безопасного доступа к объекту",беклог-промтов/114-sell-showings.md,беклог-промтов/assets/site-pages/poster-livingroom-consultation-v1.webp,poster-livingroom-consultation-v1.webp,"подбор, показы, консультация, вторичный рынок, отзывы",prepared,remaining
115,Переговоры при продаже,/sell/negotiation/,P2,seller,"стратегия цены, торга и сравнения предложений покупателей",беклог-промтов/115-sell-negotiation.md,беклог-промтов/assets/site-pages/poster-meeting-documents-v1.webp,poster-meeting-documents-v1.webp,"переговоры, документы, сопровождение сделки и цепочки",prepared,remaining
116,Налоги при продаже,/sell/taxes/,P2,seller,объяснить основные налоговые факторы и подготовку исходных данных,беклог-промтов/116-sell-taxes.md,беклог-промтов/assets/site-pages/poster-mortgage-finance-v1.webp,poster-mortgage-finance-v1.webp,"ипотека, оценка, налоги, расчёты, платежи",prepared,remaining
117,Альтернативная сделка,/sell/alternative/,P1,seller,"показать цепочку продажи и покупки, зависимости и контроль рисков",беклог-промтов/117-sell-alternative.md,беклог-промтов/assets/site-pages/poster-meeting-documents-v1.webp,poster-meeting-documents-v1.webp,"переговоры, документы, сопровождение сделки и цепочки",prepared,remaining
118,Покупателям,/buyers/,P1,buyer,"маршрут покупателя: каталог, подбор, проверка, ипотека и сопровождение",беклог-промтов/118-buyers.md,беклог-промтов/assets/site-pages/poster-catalog-exterior-v1.webp,poster-catalog-exterior-v1.webp,"каталог, новостройки, карточка объекта, жилой комплекс",prepared,remaining
119,Каталог или подбор объектов,/buyers/catalog/,P1,buyer,каталог при наличии реальных объектов либо честный lead-capture подбор,беклог-промтов/119-buyers-catalog.md,беклог-промтов/assets/site-pages/poster-catalog-exterior-v1.webp,poster-catalog-exterior-v1.webp,"каталог, новостройки, карточка объекта, жилой комплекс",prepared,remaining
120,Ипотека,/buyers/mortgage/,P1,buyer,предварительный расчёт и понятная последовательность подготовки заявки,беклог-промтов/120-buyers-mortgage.md,беклог-промтов/assets/site-pages/poster-mortgage-finance-v1.webp,poster-mortgage-finance-v1.webp,"ипотека, оценка, налоги, расчёты, платежи",prepared,remaining
121,Подбор недвижимости,/buyers/selection/,P1,buyer,"зафиксировать критерии, сформировать shortlist и организовать просмотры",беклог-промтов/121-buyers-selection.md,беклог-промтов/assets/site-pages/poster-livingroom-consultation-v1.webp,poster-livingroom-consultation-v1.webp,"подбор, показы, консультация, вторичный рынок, отзывы",prepared,remaining
